DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EE,2021,31444.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EE,2022,36181.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EL,2013,179884.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EL,2014,177236.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EL,2015,176368.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EL,2016,174494.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EL,2017,176903.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EL,2018,179557.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EL,2019,183351.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EL,2020,165405.9,p
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EL,2021,181674.6,p
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EL,2022,208030.2,p
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,ES,2013,1020677.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,ES,2014,1032608.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,ES,2015,1078092.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,ES,2016,1114420.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,ES,2017,1162492.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,ES,2018,1203859.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,ES,2019,1245513.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,ES,2020,1117989.0,p
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,ES,2021,1206842.0,p
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,ES,2022,1327108.0,p
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU15,2013,12519401.6,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU15,2014,12964652.3,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU15,2015,13666851.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU15,2016,13763516.8,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU15,2017,14105751.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU15,2018,14522173.4,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU15,2019,15011630.2,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2013,11516210.9,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2014,11782085.3,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2015,12215145.8,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2016,12548705.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2017,13074833.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2018,13533331.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2019,14018762.0,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2020,13461663.7,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2021,14532191.1,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2022,15806899.3,
ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),26/04/23 23:00:00,A,CP_MEUR,B1GQ,EU28,2013,13612548.9,
